LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 0.5
Lattice spacing in x,y,z = 1.4142136 1.4142136 1.4142136
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.70710678) to (28.284271 28.284271 0.70710678)
  2 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.70710678) to (28.284271 28.284271 0.70710678)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 44 44 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.053 | 3.053 | 3.053 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     77000   2.1164383      0.10722336     0              2.2183706      2.4289752    
     77500   2.0706229      0.13951999     0              2.2049664      2.5901652    
     78000   2.0583936      0.13187862     0              2.1851262      2.4452283    
     78500   2.4098397      0.080253384    0              2.4840685      2.1877472    
     79000   2.2403463      0.13387534     0              2.3686208      2.5732075    
     79500   2.2934611      0.10387285     0              2.3916003      2.3289363    
     80000   2.1267021      0.18601558     0              2.3074009      2.9490155    
     80500   2.2611944      0.13412367     0              2.3896651      2.5130168    
     81000   2.0986951      0.15264852     0              2.2460969      2.5609057    
     81500   2.1202416      0.1166344      0              2.2315754      2.4552603    
     82000   2.0254478      0.16846407     0              2.1888483      2.7394545    
     82500   2.0583256      0.1381445      0              2.1913243      2.5601472    
     83000   2.1269231      0.13571281     0              2.2573186      2.5828832    
     83500   2.1405088      0.067854649    0              2.2030121      1.980827     
     84000   1.9720383      0.10693159     0              2.0740398      2.2809505    
     84500   1.8172604      0.11982823     0              1.9325455      2.3493595    
     85000   1.9395097      0.08534271     0              2.0200036      2.0561644    
     85500   1.9250594      0.15852094     0              2.0787677      2.6022683    
     86000   2.0166485      0.13922961     0              2.1508365      2.5502864    
     86500   1.9278199      0.14730874     0              2.0703091      2.5544108    
     87000   1.9961489      0.1440523      0              2.1352109      2.5755777    
     87500   1.9609868      0.108812       0              2.0648964      2.2338212    
     88000   1.9416851      0.14174219     0              2.078573       2.6248029    
     88500   2.1026631      0.10507011     0              2.2024766      2.305325     
     89000   2.0755517      0.10676617     0              2.177129       2.3163216    
     89500   1.8897906      0.074028637    0              1.9590947      1.9162928    
     90000   1.826397       0.11345562     0              1.9352866      2.1044992    
     90500   1.7579195      0.10090811     0              1.8544329      2.1003012    
     91000   1.7459177      0.11423749     0              1.8557903      2.1902143    
     91500   1.7451582      0.12706231     0              1.8678576      2.3083801    
     92000   1.678985       0.12547394     0              1.8002615      2.2756052    
     92500   1.7864863      0.091924242    0              1.8739444      1.9727667    
     93000   1.6658293      0.10923286     0              1.7708976      2.1257794    
     93500   1.7215695      0.11359917     0              1.8308647      2.1718203    
